"CurveID","Model","Parameter","Estimate"
"C010","Gompertz","N_0",-2.27490547891853
"C010","Gompertz","N_max",-0.819705338798414
"C010","Gompertz","r_max",0.425524014030316
"C010","Gompertz","t_lag",-0.999093194572331
"C010","Quadratic","(Intercept)",-1.557403498608
"C010","Quadratic","poly(Time, 2, raw = TRUE)1",0.0296693089056973
"C010","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000198494470771337
"C011","Cubic","(Intercept)",-1.45622710299349
"C011","Cubic","poly(Time, 3, raw = TRUE)1",0.0605141079577426
"C011","Cubic","poly(Time, 3, raw = TRUE)2",-0.000847156019356574
"C011","Cubic","poly(Time, 3, raw = TRUE)3",3.09500713510141e-06
"C011","Gompertz","N_0",-1.8739010767114
"C011","Gompertz","N_max",-0.436151225246078
"C011","Gompertz","r_max",0.305413823254628
"C011","Gompertz","t_lag",-0.644136340194801
"C011","Quadratic","(Intercept)",-1.27961001102687
"C011","Quadratic","poly(Time, 2, raw = TRUE)1",0.0273206085225835
"C011","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000193051733608834
"C012","Cubic","(Intercept)",-1.99073278677329
"C012","Cubic","poly(Time, 3, raw = TRUE)1",0.00683391935492536
"C012","Cubic","poly(Time, 3, raw = TRUE)2",-1.50494591859106e-05
"C012","Cubic","poly(Time, 3, raw = TRUE)3",1.07015214248949e-08
"C012","Gompertz","N_0",-2.05561604235916
"C012","Gompertz","N_max",-0.955264302549493
"C012","Gompertz","r_max",0.0120043711932168
"C012","Gompertz","t_lag",-19.5660365425241
"C012","Quadratic","(Intercept)",-1.84540580541255
"C012","Quadratic","poly(Time, 2, raw = TRUE)1",0.0039900445615834
"C012","Quadratic","poly(Time, 2, raw = TRUE)2",-4.27454715152666e-06
"C013","Cubic","(Intercept)",-0.19783392011686
"C013","Cubic","poly(Time, 3, raw = TRUE)1",-0.00129583426097425
"C013","Cubic","poly(Time, 3, raw = TRUE)2",0.000444824877476435
"C013","Cubic","poly(Time, 3, raw = TRUE)3",-1.80359434490131e-06
"C013","Gompertz","N_0",-0.0102365890122023
"C013","Gompertz","N_max",3.44363157893463
"C013","Gompertz","r_max",0.109517396174369
"C013","Gompertz","t_lag",43.3329068129452
"C013","Quadratic","(Intercept)",-0.997083817582451
"C013","Quadratic","poly(Time, 2, raw = TRUE)1",0.0432259954961094
"C013","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000102602808539026
"C014","Cubic","(Intercept)",0.206832299269541
"C014","Cubic","poly(Time, 3, raw = TRUE)1",-0.0293172118995736
"C014","Cubic","poly(Time, 3, raw = TRUE)2",0.000803317354573415
"C014","Cubic","poly(Time, 3, raw = TRUE)3",-3.21762291432514e-06
"C014","Gompertz","N_0",-0.0090478821153407
"C014","Gompertz","N_max",2.91339214955796
"C014","Gompertz","r_max",0.112457592281661
"C014","Gompertz","t_lag",50.2137279743484
"C014","Quadratic","(Intercept)",-1.33694126153515
"C014","Quadratic","poly(Time, 2, raw = TRUE)1",0.0439248446351891
"C014","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000106671019933034
"C015","Cubic","(Intercept)",-0.849236112272255
"C015","Cubic","poly(Time, 3, raw = TRUE)1",0.0239688710112479
"C015","Cubic","poly(Time, 3, raw = TRUE)2",0.000129892063424465
"C015","Cubic","poly(Time, 3, raw = TRUE)3",-8.70653806894825e-07
"C015","Gompertz","N_0",0.0018811921660939
"C015","Gompertz","N_max",2.63200711163607
"C015","Gompertz","r_max",0.095479029014256
"C015","Gompertz","t_lag",42.0095691262548
"C015","Quadratic","(Intercept)",-1.4682446613333
"C015","Quadratic","poly(Time, 2, raw = TRUE)1",0.0495651240677198
"C015","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000150275063648814
"C016","Cubic","(Intercept)",0.124585927084313
"C016","Cubic","poly(Time, 3, raw = TRUE)1",-0.0130538063487301
"C016","Cubic","poly(Time, 3, raw = TRUE)2",0.00143951748416078
"C016","Cubic","poly(Time, 3, raw = TRUE)3",-9.56620963837275e-06
"C016","Gompertz","N_0",0.254311652164294
"C016","Gompertz","N_max",3.59306367934652
"C016","Gompertz","r_max",0.165076478006133
"C016","Gompertz","t_lag",25.2099957094441
"C016","Quadratic","(Intercept)",-0.902791428624095
"C016","Quadratic","poly(Time, 2, raw = TRUE)1",0.0683997210894863
"C016","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000228741915852998
"C017","Cubic","(Intercept)",-0.700376725104916
"C017","Cubic","poly(Time, 3, raw = TRUE)1",0.028481194714962
"C017","Cubic","poly(Time, 3, raw = TRUE)2",0.000812251883090484
"C017","Cubic","poly(Time, 3, raw = TRUE)3",-7.1264333173466e-06
"C017","Gompertz","N_0",0.236917229967584
"C017","Gompertz","N_max",3.1350632913959
"C017","Gompertz","r_max",0.17229501265131
"C017","Gompertz","t_lag",26.3808748585881
"C017","Quadratic","(Intercept)",-1.76933908045142
"C017","Quadratic","poly(Time, 2, raw = TRUE)1",0.0984674846266214
"C017","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000489266257716686
"C018","Cubic","(Intercept)",-0.400756206588538
"C018","Cubic","poly(Time, 3, raw = TRUE)1",0.00493546329019437
"C018","Cubic","poly(Time, 3, raw = TRUE)2",0.000877687102213703
"C018","Cubic","poly(Time, 3, raw = TRUE)3",-6.15873893507372e-06
"C018","Gompertz","N_0",0.152173944714106
"C018","Gompertz","N_max",2.72754897910617
"C018","Gompertz","r_max",0.132810695363529
"C018","Gompertz","t_lag",29.7190052764452
"C018","Quadratic","(Intercept)",-1.38148714533965
"C018","Quadratic","poly(Time, 2, raw = TRUE)1",0.0674076693402442
"C018","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000262939775556141
"C019","Cubic","(Intercept)",0.374262635972295
"C019","Cubic","poly(Time, 3, raw = TRUE)1",-0.0841030132830256
"C019","Cubic","poly(Time, 3, raw = TRUE)2",0.00721330598370421
"C019","Cubic","poly(Time, 3, raw = TRUE)3",-8.82609082024015e-05
"C019","Gompertz","N_0",0.246178485704269
"C019","Gompertz","N_max",3.16363009794401
"C019","Gompertz","r_max",0.314627941202652
"C019","Gompertz","t_lag",16.2954360927987
"C019","Quadratic","(Intercept)",-0.415386370916515
"C019","Quadratic","poly(Time, 2, raw = TRUE)1",0.0679801419743859
"C019","Quadratic","poly(Time, 2, raw = TRUE)2",0.000199526174052775
"C020","Cubic","(Intercept)",0.00504299895218428
"C020","Cubic","poly(Time, 3, raw = TRUE)1",-0.0332986772812457
"C020","Cubic","poly(Time, 3, raw = TRUE)2",0.00524389939941769
"C020","Cubic","poly(Time, 3, raw = TRUE)3",-7.06877759441881e-05
"C020","Gompertz","N_0",0.229902823080345
"C020","Gompertz","N_max",2.66005370140195
"C020","Gompertz","r_max",0.264441458400832
"C020","Gompertz","t_lag",14.8705235102572
"C020","Quadratic","(Intercept)",-1.2797818136057
"C020","Quadratic","poly(Time, 2, raw = TRUE)1",0.13197019172565
"C020","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000978166197957934
"C021","Cubic","(Intercept)",0.389948509412804
"C021","Cubic","poly(Time, 3, raw = TRUE)1",-0.109812819759499
"C021","Cubic","poly(Time, 3, raw = TRUE)2",0.00761172560389842
