CurveID,CurveLabel,Species,Temp,Medium,Rep,TimeUnits,PopBioUnits,NObservations,UniqueTimeValues,MinTime,MaxTime,MinPopBio,MaxPopBio,PopBioRange
C295,"Tetraselmis tetrahele_8_ESAW_1_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",Tetraselmis tetrahele,8.000000,ESAW,1,Hours,N,11,11,8.107965,1014.693974,379.573588,20106.621466,19727.047878
C290,"Tetraselmis tetrahele_5_ESAW_1_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",Tetraselmis tetrahele,5.000000,ESAW,1,Hours,N,11,11,13.455673,1015.891864,145.712799,19699.664376,19553.951576
C287,"Tetraselmis tetrahele_32_ESAW_3_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",Tetraselmis tetrahele,32.000000,ESAW,3,Hours,N,11,11,11.478600,849.365663,113.344182,6761.676159,6648.331977
C286,"Tetraselmis tetrahele_32_ESAW_2_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",Tetraselmis tetrahele,32.000000,ESAW,2,Hours,N,11,11,10.732259,849.013288,113.851373,5631.679993,5517.828620
C285,"Tetraselmis tetrahele_32_ESAW_1_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",Tetraselmis tetrahele,32.000000,ESAW,1,Hours,N,11,11,12.158132,849.929472,87.802089,5042.720574,4954.918485
C013,"Aerobic Mesophilic._10_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Mesophilic.,10.000000,Cooked Chicken Breast,1,Hours,CFU,11,11,11.347168,194.043773,0.976705,3566.344529,3565.367824
C180,"Pseudomonas spp._10_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Pseudomonas spp.,10.000000,Cooked Chicken Breast,1,Hours,CFU,11,11,36.056999,194.336219,0.998292,3500.579344,3499.581052
C248,"Staphylococcus spp._15_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,15.000000,Cooked Chicken Breast,1,Hours,CFU,11,11,21.456267,124.868103,1.323386,1747.923122,1746.599737
C246,"Staphylococcus spp._10_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,10.000000,Raw Chicken Breast,1,Hours,CFU,11,11,13.978495,198.387097,1.044733,1666.081194,1665.036461
C081,"Arthrobacter sp. 88_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter sp. 88,30.000000,TGE agar,1,Hours,CFU,11,11,30.316562,269.948163,2.746283,959.700419,956.954135
C139,"Lactobacillus plantarum_8_MRS broth_1_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",Lactobacillus plantarum,8.000000,MRS broth,1,Hours,N,11,11,-0.876301,337.473332,47.327219,764.847155,717.519936
C196,"Pseudomonas spp._7_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Pseudomonas spp.,7.000000,Raw Chicken Breast,1,Hours,CFU,11,11,-0.891085,324.649331,0.972456,656.209980,655.237525
C053,"Arthrobacter aurescens_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter aurescens,7.000000,TGE agar,1,Hours,CFU,11,11,1.546392,334.020619,2.718282,646.328648,643.610367
C190,"Pseudomonas spp._2_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Pseudomonas spp.,2.000000,Raw Chicken Breast,1,Hours,CFU,11,11,47.407332,633.521075,1.020529,516.029378,515.008850
C191,"Pseudomonas spp._2_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Pseudomonas spp.,2.000000,Salted Chicken Breast,1,Hours,CFU,11,11,24.743410,646.739274,1.173988,384.023683,382.849695
C296,"Tetraselmis tetrahele_8_ESAW_2_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",Tetraselmis tetrahele,8.000000,ESAW,2,Hours,N,10,10,41.412818,1045.973312,1171.294574,23933.272894,22761.978320
C294,"Tetraselmis tetrahele_5_ESAW_5_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",Tetraselmis tetrahele,5.000000,ESAW,5,Hours,N,10,10,-22.902868,972.709038,-668.283936,20215.078692,20883.362628
