"CurveID","CurveLabel","Species","Temp","Medium","Rep","Model","ResponseScale","FitStatus","NInput","NPositiveUsed","NNonPositiveRemoved","UniqueTimeValues","AIC","BIC","RSS","RMSE","R2"
"C005","Acinetobacter.clacoaceticus.1_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",15,"TSB",1,"Cubic","log10(PopBio)","success",22,22,0,22,-0.689669677574766,4.76554258921681,0.792368522418995,0.189780797287411,0.618702329610176
"C005","Acinetobacter.clacoaceticus.1_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",15,"TSB",1,"Gompertz","log10(PopBio)","success",22,22,0,22,-20.6031567470467,-15.1479444802551,0.320495452188281,0.12069786700463,0.845773568948888
"C005","Acinetobacter.clacoaceticus.1_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",15,"TSB",1,"Quadratic","log10(PopBio)","success",22,22,0,22,6.04625239555826,10.4104222089915,1.17863699003922,0.231461462533499,0.432825098648247
"C006","Acinetobacter.clacoaceticus.1_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",25,"TSB",1,"Cubic","log10(PopBio)","success",14,14,0,14,-6.57182733335805,-3.37654068528176,0.250944949356942,0.133882931099456,0.837077441805822
"C006","Acinetobacter.clacoaceticus.1_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",25,"TSB",1,"Gompertz","log10(PopBio)","success",14,14,0,14,-1.71368220273803,1.48160444533826,0.35504479204056,0.159249308596965,0.76949205018472
"C006","Acinetobacter.clacoaceticus.1_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",25,"TSB",1,"Quadratic","log10(PopBio)","success",14,14,0,14,1.79357900185132,4.34980832031235,0.526167580764217,0.19386438204584,0.658392932327903
"C007","Acinetobacter.clacoaceticus.1_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",35,"TSB",1,"Cubic","log10(PopBio)","success",16,16,0,16,5.03336076631362,8.89630437751252,0.686806080736989,0.207184410721612,0.766569138773382
"C007","Acinetobacter.clacoaceticus.1_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",35,"TSB",1,"Gompertz","log10(PopBio)","success",16,16,0,16,-21.9077625802677,-18.0448189690688,0.127514715489922,0.0892730066600207,0.956660445079434
"C007","Acinetobacter.clacoaceticus.1_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",35,"TSB",1,"Quadratic","log10(PopBio)","success",16,16,0,16,10.068346632187,13.1587015211461,1.06607461685333,0.258127223580414,0.637663784693241
"C008","Acinetobacter.clacoaceticus.1_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",5,"TSB",1,"Cubic","log10(PopBio)","success",29,29,0,29,-113.376402326243,-106.539923176311,0.0241145487675587,0.0288363687796951,0.984924235135592
"C008","Acinetobacter.clacoaceticus.1_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",5,"TSB",1,"Gompertz","log10(PopBio)","success",29,29,0,29,-88.974856861855,-82.1383777119226,0.055938224274463,0.043919292860044,0.965028932358509
"C008","Acinetobacter.clacoaceticus.1_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",5,"TSB",1,"Quadratic","log10(PopBio)","success",29,29,0,29,-85.8816083545104,-80.4124250345645,0.0666781426455313,0.0479504567039957,0.95831462534054
"C009","Acinetobacter.clacoaceticus.2_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",15,"TSB",1,"Cubic","log10(PopBio)","success",25,25,0,25,11.9582076223288,18.0525867466698,1.5830083621454,0.251635320425841,0.623347089670913
"C009","Acinetobacter.clacoaceticus.2_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",15,"TSB",1,"Gompertz","log10(PopBio)","success",25,25,0,25,10.0009493095901,16.0953284339311,1.46380137107985,0.241975318665342,0.651710591210198
"C009","Acinetobacter.clacoaceticus.2_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",15,"TSB",1,"Quadratic","log10(PopBio)","success",25,25,0,25,20.5511715961835,25.4266748956563,2.41825358923141,0.311014699924708,0.424613113816191
"C010","Acinetobacter.clacoaceticus.2_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",25,"TSB",1,"Cubic","log10(PopBio)","success",15,15,0,15,7.71462980580555,11.2548808113166,0.754134248621414,0.224222248170785,0.772452425241573
"C010","Acinetobacter.clacoaceticus.2_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",25,"TSB",1,"Gompertz","log10(PopBio)","success",15,15,0,15,-0.141930548532393,3.39832045697866,0.446660907456451,0.172561275581835,0.865227436074002
"C010","Acinetobacter.clacoaceticus.2_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",25,"TSB",1,"Quadratic","log10(PopBio)","success",15,15,0,15,12.7667036831587,15.5989044875676,1.20677725436832,0.283640295017982,0.635874861794007
"C011","Acinetobacter.clacoaceticus.2_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",35,"TSB",1,"Cubic","log10(PopBio)","success",16,16,0,16,4.30735773289655,8.17030134409545,0.656338586086888,0.20253681549395,0.759562133874013
"C011","Acinetobacter.clacoaceticus.2_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",35,"TSB",1,"Gompertz","log10(PopBio)","success",16,16,0,16,10.2506960459633,14.1136396571622,0.951591111389977,0.24387382898104,0.651401668137224
